#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
0.2%,199999,-452524.39736930095,87604.28780914744,299.0187449561375,346.91025743303663,0
0.4%,399998,-451283.30942329904,86014.82703650353,293.5934561115044,348.93567342615023,32.7
0.6%,599997,-451641.1226127893,86820.42607678659,296.3431983899658,349.44211930378106,32.7
0.8%,799996,-450061.03092777776,88253.04232999016,301.2331315741719,349.5761248536168,32.7
1.0%,999995,-452131.9488685522,87891.65971083671,299.99962828420007,349.3106701540221,32.7
1.2%,1199994,-452687.97007218003,86636.79755790834,295.71642120101416,347.1931821537174,32.7
1.4%,1399993,-451554.65302221617,86711.55049170507,295.9715745617079,347.55759153045886,32.7
1.6%,1599992,-451684.79362154007,86978.07716420066,296.881307099921,347.24054894978286,32.6
1.8%,1799991,-450321.6019764035,87792.9075420794,299.6625586007179,349.0876759368296,32.6
2.0%,1999990,-451332.8416155698,87030.97756921615,297.0618714662436,348.5145150911876,32.6
2.2%,2199989,-450882.645308482,86724.79029256117,296.01676582727794,350.1960931551433,32.6
2.4%,2399988,-452054.6318680411,88020.86448461379,300.4406415069927,348.7853890881356,32.6
2.6%,2599987,-451120.7918912517,86892.99334554136,296.59089144438815,348.79965570508494,32.5
2.8%,2799986,-453028.87193378294,87399.79346744274,298.3207466853179,348.72751665278236,32.5
3.0%,2999985,-452703.1877065492,87865.29575623659,299.90964049006624,345.6731472384126,32.5
3.2%,3199984,-451259.64196998905,87063.28617620195,297.1721500765009,348.74415418277044,32.5
3.4%,3399983,-451267.8358035856,87320.29291029711,298.04938831444923,348.2386179017367,32.5
3.6%,3599982,-452789.2729367465,87113.35916204553,297.3430636442908,347.22415648855633,32.5
3.8%,3799981,-451664.25249555893,87688.39403831086,299.30582381627534,348.25178570431024,32.5
4.0%,3999980,-452585.0680773123,87535.50275839958,298.78396170453254,347.78759453516454,32.4
4.2%,4199979,-451582.97167145694,86949.98032497981,296.785404469911,348.236900181647,32.4
4.4%,4399978,-450646.23004930373,88072.12534053554,300.61560961855923,348.73019285927353,32.4
4.6%,4599977,-451597.7180918441,87367.77741235067,298.2114666391981,349.805282122325,32.4
4.8%,4799976,-450703.1054636566,87537.09569176182,298.78939884632877,348.59149295085615,32.4
5.0%,4999975,-450842.2127849008,87729.88099214656,299.44743077614277,350.34520889216196,32.4
5.2%,5199974,-452469.6387653146,87127.72596185864,297.39210168291413,347.8750018470721,32.4
5.4%,5399973,-450773.8035067073,87294.61392145108,297.96173850633465,348.48097463906515,32.4
5.6%,5599972,-451436.8015102125,87973.32105659321,300.27836205089346,348.5802412349133,32.4
5.8%,5799971,-451588.95868965006,87255.99314872641,297.8299146506973,347.8245488574336,32.4
6.0%,5999970,-452406.3476808164,87255.29410467763,297.82752861139073,348.3948663674688,32.4
6.2%,6199969,-451326.0120766419,86995.03692630923,296.9391956680183,348.1712560674034,32.4
6.4%,6399968,-450922.17865782,87808.65069894824,299.71629454363,348.5205241418331,32.4
6.6%,6599967,-451571.879162475,87679.0525961835,299.2739387753617,348.5283600080658,32.4
