#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
0.2%,199999,-451535.5720881494,86714.06971897412,295.9801734122332,346.8044586108146,0
0.4%,399998,-451461.6132930042,86635.29276395321,295.7112849044796,348.7090747193402,32.7
0.6%,599997,-451612.0211760001,87239.31537566596,297.7729885926936,348.3278833603432,32.7
0.8%,799996,-451249.1325607542,86725.09504559333,296.0178060374261,349.5002270009137,32.7
1.0%,999995,-451100.6629778207,86664.26191474675,295.81016498591583,348.780456628515,32.7
1.2%,1199994,-451783.0010854895,87243.28292666099,297.78653099054594,348.806126204795,32.7
1.4%,1399993,-451530.6430020556,87356.43773533823,298.1727610452909,348.11108234353304,32.7
1.6%,1599992,-452065.1512679951,87136.49051319207,297.42201762887254,347.2432760975092,32.6
1.8%,1799991,-450551.1766177877,87748.87579822552,299.51226553727673,350.41099716093686,32.6
2.0%,1999990,-450760.9347913135,87000.07025460835,296.9563758717343,349.4123323785613,32.6
2.2%,2199989,-450905.6516175489,86804.10427319363,296.2874873586014,348.7822577849261,32.6
2.4%,2399988,-451928.3543283115,88038.43622878497,300.50061894668374,347.13282290136164,32.6
2.6%,2599987,-452917.9701176095,87368.1154732326,298.21262053866076,348.2173901048111,32.5
2.8%,2799986,-452084.05852988595,87424.0449291515,298.40352393087124,347.10075529804,32.5
3.0%,2999985,-450958.4252841426,88490.5715753427,302.0438875155983,348.30351491286007,32.5
3.2%,3199984,-451752.1905536633,87474.30642819623,298.57508094868194,346.531374286197,32.5
3.4%,3399983,-451900.1896300325,87560.54810321005,298.86944870248107,348.38032083676916,32.5
3.6%,3599982,-451961.06173597416,87821.583219908,299.76043697413445,348.16341034217135,32.5
3.8%,3799981,-453007.7926669391,87529.74790402729,298.76431872386524,347.6537112577877,32.5
4.0%,3999980,-451220.5510977623,87067.98851321958,297.18820051134304,347.8493997231941,32.5
4.2%,4199979,-452590.9055374828,87477.36789665165,298.5855306250409,347.67531393894893,32.4
4.4%,4399978,-452185.31229184894,87253.82949473546,297.82252947450246,349.0741260391164,32.4
4.6%,4599977,-451079.6453031413,86251.0051885653,294.399600381171,347.4211021241819,32.4
4.8%,4799976,-450770.79222178506,87507.04488271981,298.6868267527774,347.53567760189725,32.4
5.0%,4999975,-451316.02235102,87680.56064280521,299.279086174187,348.1103954698165,32.4
5.2%,5199974,-452427.49071177794,87032.64662226615,297.0675684265267,349.4830098874313,32.4
5.4%,5399973,-451448.4660416222,86516.7622549276,295.3067060312963,348.2773082122648,32.4
5.6%,5599972,-451688.9705297486,86715.27240329338,295.9842785212948,350.2640019064325,32.4
5.8%,5799971,-452445.7732749195,86375.18950207718,294.8234773225652,348.0707692403168,32.4
6.0%,5999970,-451770.56552451337,86706.63063342046,295.9547816639352,347.86683827987474,32.4
6.2%,6199969,-451645.8053195034,87120.66248537833,297.36799199690455,347.73049769449443,32.4
6.4%,6399968,-451146.9406621363,88258.630722436,301.25220637219,351.693698018427,32.4
6.6%,6599967,-452289.490800336,87037.16049285862,297.0829755710079,348.23387681020984,32.4
6.8%,6799966,-450999.80281577446,87908.21243413383,300.0561275112321,349.0756309882618,32.4
7.0%,6999965,-451034.2643186124,87407.90928960091,298.34844833117006,349.2009021775715,32.4
7.2%,7199964,-451424.0415635407,87234.40036204862,297.75621223116997,346.437335928053,32.4
7.4%,7399963,-451508.9370241617,87441.93720576621,298.4645954404005,348.3807330451596,32.4
7.6%,7599962,-451977.44897560216,86680.07584217854,295.86414248920636,347.629090455026,32.4
7.8%,7799961,-450903.0318637416,87608.4186538118,299.03284472246213,348.76160853544906,32.4
8.0%,7999960,-451397.1010096213,86858.74936893466,296.474006858447,347.4477364797031,32.4
8.2%,8199959,-450466.4218545039,86636.55717361328,295.71560069996315,347.86978290796213,32.4
8.4%,8399958,-451693.8307459187,87413.2867292302,298.36680308627666,347.1757952845471,32.4
8.6%,8599957,-450916.2843724508,86649.80325842556,295.7608134144912,348.3257965297578,32.4
8.8%,8799956,-451234.9961830517,88074.2231829848,300.62277016094794,348.3318357074974,32.4
9.0%,8999955,-452490.61124756886,88045.26514721964,300.52392801831496,348.6697825646567,32.4
9.2%,9199954,-451638.7914370503,86968.74657963886,296.84945911901553,347.9297930888999,32.4
9.4%,9399953,-452138.9812443573,86989.12294031656,296.9190095251543,346.9167080885606,32.4
9.6%,9599952,-451649.0906216847,86940.2801214249,296.7522948725916,348.950559348881,32.4
9.8%,9799951,-451604.34424829483,87239.47863855679,297.77354585610993,348.672476074276,32.4
10.0%,9999950,-452105.38799070474,87517.39003952825,298.7221377618912,348.76460051789184,32.4
10.2%,10199949,-451464.8737341068,87609.59366824653,299.0368553862135,348.5885993715224,32.4
10.4%,10399948,-450381.8724553194,87015.8109081664,297.01010327012347,348.8661763917012,32.4
10.6%,10599947,-451892.6590823233,87556.82353603165,298.85673567859783,348.30607667540585,32.4
10.8%,10799946,-452519.5328765018,87654.16570214514,299.1889926156781,346.4778057186504,32.4
