#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
0.2%,199999,-451335.4419059772,87174.68554045958,297.5523882922581,348.45907077053533,0
0.4%,399998,-452612.57343307,87337.32811282668,298.1075343824997,347.41274422074645,33
0.6%,599997,-451706.74170149537,86599.80776306725,295.59016434411615,349.0059426702837,33
0.8%,799996,-450096.5650168904,87358.52378108891,298.17988132213907,348.8554597106102,33
1.0%,999995,-451721.7178928708,86299.64644178923,294.56562703187336,347.3703615160607,33
1.2%,1199994,-451676.8726990521,87933.155060514,300.1412639015005,348.1537792108549,33
1.4%,1399993,-451635.9307199917,87263.38863260625,297.85515757388515,348.7776436675109,33
1.6%,1599992,-451579.1191738392,87384.52210259286,298.2686211048768,347.62197174996106,33
1.8%,1799991,-451038.34052350605,87225.93985252707,297.7273340677594,348.71268333507027,32.9
2.0%,1999990,-451066.34190658014,87645.59849092335,299.1597502485363,347.94155256445885,32.9
2.2%,2199989,-450933.6982298428,86783.74965620472,296.2180111699547,348.9731587644944,32.9
2.4%,2399988,-451067.0986603913,86516.59561131574,295.30613722850234,350.2235311122585,32.9
2.6%,2599987,-452684.51566493884,87788.52803328261,299.64761007186513,348.4276188446612,32.9
2.8%,2799986,-450877.76918032067,86933.19116308936,296.7280982096479,348.70417967359657,32.9
3.0%,2999985,-451792.124999485,87358.06546010729,298.1783169402105,348.232422878409,32.8
3.2%,3199984,-451608.57557810843,88094.82653506764,300.69309535433484,347.43207122435854,32.8
3.4%,3399983,-451949.1260074531,87100.05043460114,297.29763711236063,348.27178052457003,32.8
3.6%,3599982,-452462.69685451174,87094.5751411682,297.27894835395017,347.23611216783604,32.8
3.8%,3799981,-451275.0756549034,87414.43692071992,298.3707290221448,348.1612113407295,32.8
4.0%,3999980,-452035.9153763908,87981.94728100009,300.3078058470861,348.2260414240677,32.8
4.2%,4199979,-451741.37841785,87704.36445067989,299.3603354478684,349.0239277106307,32.8
4.4%,4399978,-450941.6470715939,88091.47404713545,300.68165234442023,346.7339351308888,32.8
4.6%,4599977,-451774.6080430504,87110.65966493357,297.33384948070795,348.80898723997166,32.8
4.8%,4799976,-450657.23576606205,86696.27662785188,295.9194404514465,347.5839260104643,32.8
5.0%,4999975,-451268.5669745584,87064.1238045001,297.1750091438904,350.52860434424605,32.8
5.2%,5199974,-451236.39343490684,86429.21119401336,295.00786896511084,348.64487843681746,32.8
5.4%,5399973,-453303.1533578867,87099.5745564287,297.29601280266724,349.73587923859765,32.8
5.6%,5599972,-452703.7316519483,87921.01264543657,300.0998183306501,346.99509084926984,32.8
5.8%,5799971,-451041.91570284776,87072.08463833702,297.20218176982286,349.5347548292776,32.8
6.0%,5999970,-452173.74895356316,87326.35528484639,298.0700809503294,347.6802898903539,32.8
6.2%,6199969,-451815.12004730664,86866.78404980246,296.5014315456318,348.0357541651081,32.8
6.4%,6399968,-451904.18548557535,87118.42204364226,297.3603447219501,347.88734901641976,32.8
6.6%,6599967,-451785.7556470204,87028.84355687001,297.0545874655466,347.9157185155064,32.8
6.8%,6799966,-451137.6254289616,87319.73514006741,298.04748448350404,348.2125998741846,32.8
7.0%,6999965,-451065.3958346364,87352.31740257714,298.15869715912925,350.01628420085234,32.8
7.2%,7199964,-451875.78664775705,87611.56004874216,299.04356721097247,347.53655505761486,32.8
7.4%,7399963,-451186.10959116975,86846.1802375319,296.43110478149123,350.3017324382602,32.8
7.6%,7599962,-451046.5693383543,87402.7046743437,298.33068347557776,349.21202452006685,32.8
7.8%,7799961,-451234.32521230914,87339.88310743822,298.11625531729885,348.6953000315446,32.8
8.0%,7999960,-451813.9407335045,86677.83105518343,295.85648038262735,349.292086074254,32.7
8.2%,8199959,-451740.0673259753,86894.63533970166,296.5964960448628,348.162527194689,32.7
8.4%,8399958,-450250.8181245625,87309.32653141499,298.01195689491425,349.988776237955,32.7
8.6%,8599957,-451528.6432551765,87158.54095889465,297.49728217087846,348.4272089989263,32.7
8.8%,8799956,-451908.3859459958,86839.67990398023,296.4089172650006,347.0885995013283,32.7
9.0%,8999955,-453218.0703914752,87348.0629806947,298.1441755880553,347.39356038607036,32.7
9.2%,9199954,-451392.338123776,86899.29433566658,296.61239854416993,348.08026756518535,32.7
9.4%,9399953,-451752.60131906485,87439.51609035418,298.4563314739896,347.13329551460146,32.7
9.6%,9599952,-452468.54412496835,87838.163303504,299.81702958977155,348.95793865357194,32.7
9.8%,9799951,-452752.0921341623,87775.32563172304,299.6025464608996,346.35123444322545,32.7
10.0%,9999950,-452063.7003317592,87471.5415288372,298.5656435483338,348.14151533239135,32.7
10.2%,10199949,-452015.8293119068,87485.5434225596,298.6134360570407,345.6121711622063,32.7
10.4%,10399948,-451214.09091884224,87293.64575891185,297.9584338878664,348.9505121892455,32.7
10.6%,10599947,-451224.5037957276,87432.68680836516,298.4330211614424,347.48270281066203,32.8
10.8%,10799946,-452221.6659367606,87126.72222996596,297.3886756559658,346.4765446044323,32.8
11.0%,10999945,-453597.867017386,87408.27702327515,298.349703512446,347.05232197569035,32.8
11.2%,11199944,-451103.434638035,87662.37654629073,299.21701859902714,348.63835096784004,32.8
11.4%,11399943,-451105.87204228994,87460.09533590241,298.52657438480907,349.1837824531359,32.8
11.6%,11599942,-452748.9637221154,86359.29536289163,294.76922603338437,348.19864728622196,32.8
11.8%,11799941,-451044.1778525724,86941.77438805741,296.75739523633246,347.5930454190218,32.8
12.0%,11999940,-452512.53106132336,87801.62897732476,299.69232737901064,348.44496198830427,32.8
12.2%,12199939,-453130.17577910377,87991.74843980244,300.341260033833,347.94804203002093,32.8
12.4%,12399938,-452075.2374573238,86877.08469540696,296.5365906251463,347.32797269658744,32.8
12.6%,12599937,-451947.0155443442,87991.66265918105,300.3409672397884,347.77617073596286,32.8
12.8%,12799936,-453284.1736046183,87012.20254885886,296.9977868972783,348.0667696424741,32.8
13.0%,12999935,-451577.90807286184,86853.8079697612,296.45714043539704,349.09862004484035,32.8
13.2%,13199934,-451433.3386318949,86767.9387408538,296.16404394776646,348.2381708719842,32.8
13.4%,13399933,-451722.24668650934,87687.4905237086,299.3027398598941,348.09470720092474,32.8
13.6%,13599932,-451314.35579849686,87963.90402628423,300.246219005677,347.72254265217,32.8
13.8%,13799931,-451949.868405608,87410.2603756279,298.35647326705686,346.50354096486984,32.8
14.0%,13999930,-452119.74442698713,87614.51475120825,299.05365246416295,346.6795156051076,32.8
14.2%,14199929,-453011.73095570644,88115.71796012978,300.76440382403024,347.8604616554808,32.8
14.4%,14399928,-452039.40937837726,87555.69902245543,298.85289738886735,349.0587079239512,32.8
