#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
0.2%,199999,-452298.26685651205,87675.58593528019,299.2621060601098,345.8555863252921,0
0.4%,399998,-451294.7631240082,87762.19235086488,299.5577187788582,347.91453892984924,32.7
0.6%,599997,-451904.83827346005,86941.83999157418,296.75761916008935,350.1053345611757,32.7
0.8%,799996,-450805.3733867374,87106.71636557142,297.32038986068545,348.3512558341652,32.7
1.0%,999995,-451421.6268334561,87469.25207387621,298.5578289770818,349.56085042231575,32.7
1.2%,1199994,-451003.9827876133,86875.61113270401,296.53156092989883,348.25490091998006,32.7
1.4%,1399993,-451579.6500242292,87675.63925141178,299.262288043471,349.258809219234,32.7
1.6%,1599992,-451348.5403795969,87159.4703188712,297.50045434498946,347.65407157205186,32.7
1.8%,1799991,-451336.5929724034,87161.42082676268,297.50711199196456,348.2770029738059,32.7
2.0%,1999990,-452434.1899259635,87367.04759093508,298.20897554784636,347.4140824521201,32.7
2.2%,2199989,-449808.02687357366,87495.17737646052,298.64631952515015,349.3181439395108,32.6
2.4%,2399988,-450658.3842072035,86976.53398700783,296.87603979030655,349.22158205638607,32.6
2.6%,2599987,-451502.6727617481,87100.73429623933,297.2999713297133,348.06690273153237,32.6
2.8%,2799986,-452891.3292165394,87942.4946937825,300.17314276825624,347.5692117416445,32.6
3.0%,2999985,-451765.2356441412,87489.33234833676,298.626368755416,347.4462206049184,32.6
3.2%,3199984,-452163.5183767034,86848.97093582456,296.44063024105367,347.6378476603931,32.6
3.4%,3399983,-452111.23421660764,87567.4666313316,298.89306363786363,347.30882952694606,32.5
3.6%,3599982,-450645.3154628356,86438.11776255793,295.03826965684254,349.33188699391843,32.5
3.8%,3799981,-451994.97471403563,86515.04458086367,295.3008431134451,347.4086100936821,32.5
4.0%,3999980,-451105.90253632795,87781.43788056375,299.6234093321461,348.38618857772383,32.5
4.2%,4199979,-451058.208798307,86824.7959720805,296.35811410515566,348.4168386217124,32.5
4.4%,4399978,-451806.2568634297,87668.28306712024,299.2371792611325,347.14813077428363,32.5
4.6%,4599977,-450320.61880418565,86969.96751548222,296.8536265258022,349.14457274263145,32.5
4.8%,4799976,-451630.3285874091,86857.6335718995,296.47019832078945,349.5486271547911,32.5
5.0%,4999975,-452502.3119112919,87711.51483560447,299.3847417775078,347.6900648780187,32.5
5.2%,5199974,-450412.21689080633,85670.61827675952,292.4185721655748,348.3760086634725,32.5
5.4%,5399973,-451276.5670702667,86588.44723998045,295.5513875965343,347.5317660424207,32.5
5.6%,5599972,-451852.95900380146,87968.05402332137,300.26038414458344,347.6668908061549,32.5
5.8%,5799971,-451585.461151124,86713.97436432989,295.97984793928254,348.4362446300873,32.5
6.0%,5999970,-452394.842583132,88066.3135514941,300.5957723034165,346.3902554032696,32.5
6.2%,6199969,-451007.750352893,87054.07163996727,297.1406982020647,349.44168321681394,32.5
6.4%,6399968,-452725.15067179315,86779.2995134007,296.2028215468277,348.5843332078812,32.5
6.6%,6599967,-451997.2931273179,86861.89019366074,296.48472740068536,348.225606656471,32.5
6.8%,6799966,-451262.55638418254,86404.11971516686,294.9222244983683,347.8485660433218,32.5
7.0%,6999965,-451871.68168875156,87759.87163378479,299.54979750096146,347.0814174217048,32.5
7.2%,7199964,-452346.22856118064,87277.7141594204,297.90405473583843,347.78200071724683,32.5
7.4%,7399963,-452053.7706573419,87284.1583005299,297.9260504512888,349.83677200524517,32.5
7.6%,7599962,-452066.1942120739,86682.93455219443,295.8739000924301,347.5117532097994,32.5
7.8%,7799961,-451035.978098955,88000.29957151378,300.37044751696,348.5522778408575,32.5
8.0%,7999960,-452773.1590432604,87112.69877161388,297.3408095409473,346.90842635713955,32.5
8.2%,8199959,-452315.8408437595,87225.51824979135,297.72589501581274,347.96144466386426,32.5
8.4%,8399958,-451955.6590667702,87888.54999398839,299.98901392213617,347.75354788499266,32.5
8.6%,8599957,-451649.7063848893,87905.85351050948,300.04807582336105,349.28959731236745,32.5
