#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
13.8%,13799931,-451847.7520529907,87470.55797467346,298.5622863938042,347.5026494883328,32.3
14.0%,13999930,-452179.8945387928,87259.40974064078,297.84157646602404,347.126507820575,32.3
14.2%,14199929,-452554.58909488143,87337.13963601971,298.10689105670275,346.5863897326698,32.3
14.4%,14399928,-452089.2726743971,88081.8334114725,300.6487460695265,347.3027835765127,32.3
14.6%,14599927,-451061.92670501256,88197.74552928156,301.04438761698117,348.18474483896057,32.3
14.8%,14799926,-452333.96365428856,88403.34837626491,301.7461695365866,348.08018379094784,32.3
15.0%,14999925,-451846.76233244454,87451.28623254655,298.49650636992607,347.18654285116367,32.3
15.2%,15199924,-450623.5581582752,87848.93880355195,299.8538094846967,347.8482862659514,32.3
15.4%,15399923,-451122.27444855124,87605.27087700972,299.0221004507798,348.3669043946061,32.3
15.6%,15599922,-450870.7528516841,87135.90100466373,297.42000546594426,348.1332190876484,32.3
15.8%,15799921,-452782.8693101518,87660.88340481644,299.2119220757764,347.20901340555037,32.3
16.0%,15999920,-451249.4388037068,87089.96441777598,297.2632106228806,350.00942331609593,32.3
16.2%,16199919,-452438.8110813331,87191.93405627192,297.61126246017324,346.6690749456296,32.3
16.4%,16399918,-452733.25680616265,87466.84087987093,298.54959887529867,348.369694951084,32.3
16.6%,16599917,-451351.526670116,86913.10474177625,296.65953745032994,348.46543844662665,32.3
16.8%,16799916,-450948.5448690294,86755.94634986116,296.1231104524625,348.9578205642352,32.3
17.0%,16999915,-452551.7065031417,87201.44261064776,297.64371790347303,348.10105327684835,32.3
17.2%,17199914,-452471.6669957321,86955.08148498501,296.8028162028378,347.94942798133184,32.3
17.4%,17399913,-450988.4835051,87095.74918259087,297.28295569653017,349.2852849506688,32.3
17.6%,17599912,-452123.6808552765,86572.2339620582,295.4960469946394,348.83708684699246,32.3
17.8%,17799911,-453276.5529124816,87594.17808363936,298.9842375420728,348.28333618208177,32.3
18.0%,17999910,-450492.93986155326,87155.38573410199,297.4865124770524,350.88963190352086,32.3
