#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
0.2%,199999,-441121.57921523415,84883.03000182763,296.19444176346354,339.9297052675718,0
0.4%,399998,-441092.0523168184,85462.32210010762,298.2158481584088,340.8207968241583,32.9
0.6%,599997,-441110.6413528137,86332.16629565274,301.25111935354795,340.45145289880827,32.9
0.8%,799996,-443100.30561413895,85279.29684386379,297.5771920736697,340.66227372416483,32.9
1.0%,999995,-439992.63119639363,85751.09141214518,299.2234920322849,340.84784894199265,32.9
1.2%,1199994,-442227.14793437766,85759.69318500813,299.25350742300867,338.9976174768808,32.9
1.4%,1399993,-440661.2862399565,85313.56920182321,297.696783491807,340.5469260622817,32.9
1.6%,1599992,-442818.76846518135,84660.69158604677,295.4186046739609,339.9982408348972,32.8
1.8%,1799991,-442402.8867789181,85089.63237716194,296.91536884662526,340.5310595722057,32.8
2.0%,1999990,-440108.61630249023,85903.75152269681,299.75619069093807,342.3787686476062,32.8
2.2%,2199989,-440746.5724628824,85194.0648075846,297.2797797946131,340.30464924216705,32.8
2.4%,2399988,-440989.4813321782,85763.71690836974,299.2675479738099,339.7486312351919,32.8
2.6%,2599987,-440899.191472773,85488.24051261501,298.30628896529157,340.20712296440973,32.7
2.8%,2799986,-442084.65271744225,85321.64433163346,297.7249611919464,340.68642220107637,32.7
3.0%,2999985,-441884.4796778755,85854.88169444236,299.585662241393,340.279874400783,32.7
3.2%,3199984,-441038.3256476978,85889.18784339662,299.70537157125955,339.9892454885294,32.7
3.4%,3399983,-441778.6533785062,84604.10613410291,295.22115300016833,341.2004329364239,32.7
3.6%,3599982,-441256.9386866274,85873.5654462963,299.65085811682656,340.1485068155719,32.7
3.8%,3799981,-440443.5902963034,85523.66163476938,298.42988892988905,340.1049594710508,32.7
4.0%,3999980,-441007.80254496355,85090.06270773994,296.91687046037924,341.3749249769574,32.7
4.2%,4199979,-442340.6388689019,85875.8679832868,299.65889268697,341.04437508024995,32.6
4.4%,4399978,-442102.90031194035,85863.54813467886,299.61590328519014,339.1537064407072,32.6
4.6%,4599977,-443053.92273277696,85994.74529918723,300.0737082304386,338.1746997823142,32.6
