#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
0.2%,199999,-441260.1446925546,85603.78490327601,298.7094744581987,340.98410778242925,0
0.4%,399998,-441356.14391309395,85968.10201783333,299.98073803548687,340.9644538513175,32.8
0.6%,599997,-441926.24991402635,85699.73346415034,299.0442814322849,340.6710705935317,32.7
0.8%,799996,-440320.3052376122,85843.1249993972,299.5446379315184,341.25559711719984,32.7
1.0%,999995,-440724.976229778,85773.87053699349,299.3029784757844,340.0048851657289,32.7
1.2%,1199994,-440750.5074717561,85915.82022826001,299.79830374353554,339.66600393821324,32.7
1.4%,1399993,-441656.654879177,85384.77050837572,297.9452363480104,339.5447744291319,32.7
1.6%,1599992,-441417.7355843289,85405.00128774479,298.0158304868098,340.23955490618556,32.7
1.8%,1799991,-441317.8981575477,84840.70246061531,296.0467422475493,339.7027967182879,32.7
2.0%,1999990,-441950.17504281923,85981.2640292173,300.0266661157436,341.4943060841173,32.6
2.2%,2199989,-441145.118445511,85020.04736916657,296.67255597109704,338.49471228923505,32.6
2.4%,2399988,-441368.8944942658,85149.0546304672,297.1227193752964,340.7272136979659,32.6
2.6%,2599987,-441527.31846228335,85008.90001239907,296.633657912029,340.02970691148096,32.6
2.8%,2799986,-441168.9713418884,85417.37377497932,298.05900356804375,340.97198020680804,32.6
3.0%,2999985,-441162.26441382477,85141.83278143028,297.09751914924476,341.00472266307366,32.5
3.2%,3199984,-442081.4909574217,85542.10310181754,298.4942393664546,340.3569016016861,32.5
3.4%,3399983,-440840.32724047406,85901.03585494694,299.74671452481664,342.00653526828216,32.5
3.6%,3599982,-441435.1508275517,85495.32475084811,298.33100900637316,340.3711107737589,32.5
3.8%,3799981,-441684.8509453535,85406.23570346413,298.0201379093286,340.00492991132444,32.5
4.0%,3999980,-441054.22864314215,85509.39155036747,298.3800942926895,341.10931925159105,32.5
4.2%,4199979,-441092.93637140514,85156.18651061086,297.1476056600794,340.464069091136,32.5
4.4%,4399978,-439791.1478042132,84981.7722224351,296.53899705220243,340.0172234992121,32.5
4.6%,4599977,-442068.85190368164,85941.95585099794,299.889502493001,340.3788242262252,32.5
4.8%,4799976,-441572.9002762181,85651.84185592073,298.8771664251461,341.2009244264535,32.5
5.0%,4999975,-440748.08942991914,85617.93696582946,298.75885726495915,340.16413576323,32.5
5.2%,5199974,-442448.7886096048,85790.04892853886,299.3594320407939,339.75926960931065,32.5
5.4%,5399973,-441961.99080018606,84853.00882053922,296.08968458134353,341.3450721774688,32.5
5.6%,5599972,-441421.2523992802,85592.74636780715,298.67095612478136,339.64717561119136,32.5
5.8%,5799971,-441286.41481642984,84679.83402898803,295.4854011255114,340.2900952026748,32.5
6.0%,5999970,-442627.85692598065,85679.19703340984,298.97262074063826,339.3171094651391,32.5
6.2%,6199969,-442417.0283235824,84534.72187308568,294.97904061965215,340.76532023657114,32.5
6.4%,6399968,-440988.4608587874,85283.32125468756,297.59123502333057,339.51638215299334,32.5
6.6%,6599967,-440237.32501730416,85204.59106131713,297.316510550432,340.4224853728935,32.5
6.8%,6799966,-439910.2106202026,85353.81595665682,297.83722222355914,341.74673552541987,32.5
7.0%,6999965,-440014.8273577187,85689.49467849603,299.00855377975944,342.4448155720431,32.5
7.2%,7199964,-440766.44316502707,85243.28266055149,297.45152265633715,341.55095234746517,32.5
7.4%,7399963,-440317.5472876774,85893.8163353802,299.721522427317,340.624110829943,32.5
7.6%,7599962,-440766.2555236523,85612.76567482739,298.7408123430057,341.0259116039259,32.5
7.8%,7799961,-442445.6957088993,85396.92418694726,297.98764590902385,339.5579807708056,32.5
8.0%,7999960,-441011.3477057847,85633.83566223679,298.814334849902,341.3281218171276,32.5
8.2%,8199959,-440854.945641933,85340.87344751452,297.7920600837258,340.6006883059834,32.5
8.4%,8399958,-441692.6786092669,85004.52656607621,296.61839702310743,339.8158323712292,32.5
8.6%,8599957,-441623.30620721774,86339.43183831024,301.27647204597065,342.00988332145675,32.5
8.8%,8799956,-441308.3181212563,85082.08057171182,296.88901725668376,340.0297605696258,32.4
9.0%,8999955,-441976.7889480605,84865.67720409774,296.1338901757489,341.5357471162138,32.4
9.2%,9199954,-440462.0764912851,84435.87753010931,294.6341289807918,342.3651795172798,32.4
9.4%,9399953,-441828.59175579296,85536.22723459709,298.4737358663887,340.5381646842736,32.4
9.6%,9599952,-440892.9400992724,85905.44797900715,299.76211037747385,340.8582992658778,32.4
9.8%,9799951,-442199.0925679528,85465.27031061728,298.2261357690902,341.368577845972,32.4
10.0%,9999950,-441024.8444969305,86142.26880872296,300.58848301584607,342.701599564486,32.5
10.2%,10199949,-440721.5880487268,85396.80385888153,297.98722603117244,339.41802464985756,32.5
10.4%,10399948,-440972.1403946411,84498.29901735426,294.85194516346303,338.37438868542745,32.5
10.6%,10599947,-442619.2568465322,84359.51624922064,294.36767069148857,339.9607443553993,32.5
10.8%,10799946,-441574.22626954224,85613.74984900071,298.74424656207,342.3811667826078,32.5
11.0%,10999945,-441352.8334285533,85618.05046801374,298.75925332429057,339.8307901831511,32.5
11.2%,11199944,-441414.9092447967,85756.32987898501,299.2417713604532,340.40920267857524,32.5
11.4%,11399943,-440957.5812932714,85840.21480100031,299.53448296191414,340.87550349783936,32.5
11.6%,11599942,-440682.9668918364,85889.46026021754,299.70632215405794,340.4198241723953,32.5
11.8%,11799941,-441644.653713224,85134.94237027364,297.07347545657706,339.7215553223775,32.5
12.0%,11999940,-441702.68822851684,85020.70018504618,296.6748339344901,340.52294065947086,32.5
12.2%,12199939,-441699.83699172456,85951.04433766857,299.9212162435095,339.94813967924773,32.5
12.4%,12399938,-440477.2913157819,85425.89275727188,298.088730065843,342.3309159726796,32.5
12.6%,12599937,-441451.9817914199,85596.21582716459,298.6830626032798,340.0433444829301,32.5
12.8%,12799936,-440408.6619431912,85447.77866415156,298.16509967671306,339.93635268176445,32.5
13.0%,12999935,-441689.7637095847,85209.18479932129,297.332540134481,340.2745119635413,32.5
13.2%,13199934,-442583.2738997149,85589.92110173329,298.661097521624,338.89975167535744,32.5
13.4%,13399933,-441490.854094435,85762.65309068433,299.26383584329966,339.67045941342315,32.5
13.6%,13599932,-441163.0619106232,85095.47331208468,296.9357504524514,340.97742786791133,32.5
13.8%,13799931,-441478.7080804226,85448.28938838886,298.1668818195084,340.6776777864536,32.5
14.0%,13999930,-440824.44389400445,84954.51325823506,296.44387846743814,342.5459371726372,32.5
14.2%,14199929,-440799.82534223003,85166.42963816866,297.1833484634269,339.8713555170763,32.5
14.4%,14399928,-441628.7192177484,86425.82378838619,301.57793177738046,339.57390612885945,32.5
14.6%,14599927,-441983.2891704147,84918.15476406025,296.31700759719195,338.936443524487,32.5
14.8%,14799926,-442273.13417242793,86128.85444168025,300.54167435506025,340.49202362244023,32.5
15.0%,14999925,-441384.4522908991,85577.43682226009,298.61753434781525,340.73783141100404,32.5
15.2%,15199924,-440375.32199920435,85291.06656142237,297.61826182485447,341.1737207889144,32.5
15.4%,15399923,-440758.9706756803,85233.75480911403,297.41827576779343,340.1631522641946,32.5
15.6%,15599922,-441532.7876752983,86649.73875578656,302.3592701529098,341.29800545519976,32.5
15.8%,15799921,-441950.6162553872,85685.25534554047,298.9937608717047,339.4724026084287,32.5
16.0%,15999920,-441272.96069515776,84850.1636584982,296.0797565523553,339.7715098241809,32.5
16.2%,16199919,-441150.5700207087,85508.1546969614,298.3757783640033,341.928113745483,32.5
16.4%,16399918,-442085.6708189859,85706.41647611518,299.0676014174242,339.36586191714105,32.5
16.6%,16599917,-440712.0635308367,84841.51920389186,296.0495922261476,340.7400054966876,32.5
16.8%,16799916,-442327.4360917201,84450.95207087777,294.6867307221252,339.6183403956853,32.5
17.0%,16999915,-441305.21357599134,86028.93742190627,300.1930196723282,340.183954770607,32.5
17.2%,17199914,-442305.32441337314,85230.81655538347,297.40802290071906,340.7777904143289,32.5
17.4%,17399913,-442253.5274684606,85353.70919339113,297.8368496792958,339.80029787391595,32.5
17.6%,17599912,-440682.9829717842,85970.34118501806,299.9885514803448,340.5750629720834,32.5
17.8%,17799911,-442311.281082863,85644.05265224466,298.8499864477752,340.2323873577588,32.5
18.0%,17999910,-441459.52057222696,85570.65611742785,298.5938734690447,339.6443226852635,32.5
18.2%,18199909,-440323.0384349255,85978.32443301281,300.0164085641838,341.1394401254236,32.5
18.4%,18399908,-441093.449082043,85644.7798270823,298.8525238824674,341.51032941380765,32.5
18.6%,18599907,-441642.15287604416,85164.4893991669,297.17657811123746,341.5970430080766,32.5
18.8%,18799906,-440415.9289298374,84202.26271498704,293.8189435455956,342.1097628600685,32.5
