#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
0.2%,199999,-441610.68691342836,85241.52251782574,297.4453807397248,340.16846876037647,0
0.4%,399998,-441043.64283833373,85231.76044291473,297.4113165418674,341.00418074800046,32.8
0.6%,599997,-440041.2283321023,85463.59033919044,298.22027360560537,341.5850612688663,32.8
0.8%,799996,-441264.6697514462,85112.74453741737,296.9960173979866,341.6340663952801,32.8
1.0%,999995,-442382.0827042912,85767.89157632098,299.2821152370584,339.14472288178916,32.8
1.2%,1199994,-442670.89215497766,85425.96862096054,298.08899478781285,339.2724245670334,32.8
1.4%,1399993,-441284.5871001403,86236.42958758492,300.9170516276219,338.96803662303904,32.8
1.6%,1599992,-442535.90290882764,85894.28564800392,299.7231600666731,339.7805885189223,32.8
1.8%,1799991,-442041.5836133831,85574.3122819094,298.60663144431476,340.8553720170012,32.7
2.0%,1999990,-441133.2509893747,85350.25375691836,297.82479213284535,341.2047721967656,32.7
2.2%,2199989,-440408.0883149728,84779.3719518309,295.8327329713479,338.77250744867655,32.7
2.4%,2399988,-441970.01869195607,84251.0496916839,293.98918288940484,341.4992815704461,32.7
2.6%,2599987,-441232.5429379605,85318.96546052897,297.7156134255986,340.25021204125494,32.7
2.8%,2799986,-441588.6985153714,85012.40882177427,296.6459017001468,340.4227222374096,32.6
3.0%,2999985,-441471.6348190587,85462.70774885488,298.2171938574892,340.68924929244173,32.6
3.2%,3199984,-441431.48616965674,84791.40752487816,295.87473040994036,337.9121313553592,32.6
3.4%,3399983,-442112.7403043052,86251.44461644394,300.9694457055768,339.5313722512952,32.6
3.6%,3599982,-441638.4101562267,85387.98620735254,297.9564573442837,338.72224931345806,32.6
3.8%,3799981,-441642.503791878,85222.82446399634,297.38013495837197,339.568480804443,32.6
4.0%,3999980,-441632.22071720613,85656.87441925469,298.89472726489583,340.69542568427016,32.6
4.2%,4199979,-441222.9846058469,84978.48026368761,296.5275099518539,340.98965954318237,32.6
4.4%,4399978,-441749.82555400534,85898.91612990294,299.73931786642584,340.85664627152164,32.6
4.6%,4599977,-440813.5814150213,85517.24338811981,298.40749282806013,341.05346930133084,32.6
4.8%,4799976,-441316.39949823124,85803.55212139082,299.4065506541225,339.7811243661131,32.6
