#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
0.2%,199999,-441542.4780715024,85578.01355078234,298.6195468087594,340.37864010081785,0
0.4%,399998,-441227.5393164223,85641.08141383482,298.83961848256325,340.9612258931621,32.7
0.6%,599997,-441272.8833256676,85666.15119845315,298.9270980513298,341.7192886617796,32.6
0.8%,799996,-440360.2260130225,84536.56212605283,294.98546207633547,342.06245190452034,32.6
1.0%,999995,-442209.2808107231,86206.61627207958,300.8130197811736,340.15368329191887,32.6
1.2%,1199994,-441555.2535636574,84969.99443851947,296.49789915392967,340.3155079146947,32.6
1.4%,1399993,-441324.4422096871,84825.98498643094,295.99538646948486,340.4828672831478,32.6
1.6%,1599992,-442428.6560410233,85593.07349655719,298.67209762170364,341.2198157194927,32.6
1.8%,1799991,-440798.5170176341,85142.26779591898,297.0990371072351,340.1558551299588,32.6
2.0%,1999990,-441772.1775641674,85186.93774985941,297.2549103373814,338.3101789021227,32.6
2.2%,2199989,-441537.1258845497,86349.56771408848,301.3118406004138,339.07927996934285,32.5
2.4%,2399988,-441657.07996181166,84746.05377560666,295.7164711153904,342.1653532745665,32.5
2.6%,2599987,-440767.2724139099,85187.10491576692,297.2554936531826,340.58856862775343,32.5
2.8%,2799986,-441698.4666471551,85444.98853547574,298.15536368348137,339.3390903184172,32.5
3.0%,2999985,-440935.4909144575,85642.78854728094,298.84557542634906,340.455465419853,32.5
3.2%,3199984,-440994.1384438197,84702.477120878,295.5644128898417,339.2338496273624,32.5
3.4%,3399983,-440566.33773206174,85475.18307858438,298.260725801683,342.4032685920578,32.5
3.6%,3599982,-440912.67449275823,84201.79449314438,293.81730971245713,340.6435004217216,32.4
3.8%,3799981,-442315.6012471621,84993.99852648342,296.58166003563207,340.26071928749155,32.4
4.0%,3999980,-441915.3435148983,85586.71997953672,298.6499273901854,340.22255270528075,32.4
4.2%,4199979,-441131.5170818446,84916.92519573285,296.31271708936794,339.4095537066563,32.4
4.4%,4399978,-440660.4358068318,85849.98555366253,299.56857744028434,340.7206868984833,32.4
4.6%,4599977,-440632.45757459616,84812.14458067727,295.9470911711679,341.1126553492529,32.4
4.8%,4799976,-441693.54471530765,85498.59628033685,298.3424248200006,340.80223999314,32.4
5.0%,4999975,-441617.1700845836,84363.50166525296,294.3815775710717,340.68367906550634,32.4
5.2%,5199974,-442056.1444014739,85556.23542415397,298.54355329086536,340.2145371803469,32.4
5.4%,5399973,-441014.43502895674,85336.89532155928,297.7781786424465,339.9523800907928,32.4
5.6%,5599972,-441609.3842759724,85898.50652751757,299.73788858250566,341.3223238369565,32.4
5.8%,5799971,-441814.30020855134,84628.29046664236,295.30554283493024,339.50236661648825,32.4
6.0%,5999970,-441282.8881031112,85912.76293296786,299.7876354877918,341.02471203778475,32.4
6.2%,6199969,-440320.9261738872,85963.72645154252,299.9654697490593,339.50221519879415,32.4
6.4%,6399968,-440793.24185060896,85138.37393879064,297.08544971717134,339.9631029133238,32.4
6.6%,6599967,-442185.5681780656,86045.62864195625,300.2512627228525,340.04942060685414,32.4
6.8%,6799966,-441991.3439367912,85560.57290749266,298.55868868902604,339.02561303349717,32.4
7.0%,6999965,-441073.2243865789,86017.26072979294,300.15227452807403,341.5658406693217,32.4
7.2%,7199964,-441743.2920024707,86314.44897498592,301.18929578405067,342.09175432622186,32.4
7.4%,7399963,-441858.2917515533,84983.70272098051,296.54573341563065,339.1315679189136,32.4
7.6%,7599962,-441174.578234253,84981.43539490906,296.5378217119602,341.251952666303,32.4
7.8%,7799961,-440306.1659157579,85725.8674657123,299.1354745247502,341.57512418842975,32.4
8.0%,7999960,-441060.90496686986,85258.18898188535,297.5035374056473,339.7409917409056,32.4
8.2%,8199959,-442175.6043370967,85199.15265153279,297.29753353288066,340.3587335048489,32.4
8.4%,8399958,-441123.17265891004,85117.27551627415,297.0118279876074,340.6635300871381,32.4
8.6%,8599957,-440648.46281179925,85590.23670748237,298.6621988096985,341.11182605851513,32.4
8.8%,8799956,-441893.1042774413,85423.38405350404,298.0799760886104,341.28744810216324,32.4
9.0%,8999955,-440338.536911421,86164.84070282755,300.6672463396071,340.9616063790706,32.4
9.2%,9199954,-440987.68496487895,85737.97164592589,299.17771136409596,342.387756092839,32.4
9.4%,9399953,-441709.00768928183,85388.8759426598,297.95956202436696,339.82304861104393,32.4
9.6%,9599952,-442283.6728486195,85101.21474327892,296.95578484575077,339.62041907443023,32.4
9.8%,9799951,-440733.1939901733,85766.22023795557,299.276283198144,341.9481669437435,32.4
